36-	读图9，回答下列问题。
36--1	描述图示地区主要地形区的分布状况。
36--2	简述黄河乌海至磴口段河流流向及水文特征。
36--3	指出河套平原的年降水量分布特征，并分析原因。

36-1	河套平原素有“塞上米粮川”之称，是内蒙古自治区粮、油、糖生产基地。
36-1-4	指出该地发展农业生产的限制性自然因素，并说明进行改造的方式及可能引发的问题。

36-2	近10年来，土默川平原实施退耕还草工程，使这一地区成为中国“乳都”呼和浩特的核心奶源基地。
36-2-5	分析产生这一转变的社会经济因素。

39-	科技革命使世界发生广泛而深刻的变化，一些国家结合自身条件，抓住机遇，实现了经济的跨越式发展。这是世界经济发展史上的重要经验。回答下列问题。
39-1	20世纪中后期，在一些传统工业基础薄弱的地区，出现了一种新兴的工业区。如意大利的萨索洛，数百家以瓷砖生产为中心的中小企业，通过生产－销售－服务－信息网络，实现了规模经济生产，带动了地区经济发展。 
39-1-2	简述这类新兴工业区的特点。

40-	北京奥运会火炬接力以“和谐之旅”为主题。圣火于2008年5月4日开始在图内113个城市传递，既经过了最早开放的经济特区，又经过了星火燎原的革命老区。读图12，回答下列问题。

40-1	奥运火炬传递到经济特区深圳、汕头、厦门。这些城市在20世纪80年代以后，工业化、城市化进程不断加快。  
40-1-1	指出上述城市经济发展的区位优势；说明城市在区域经济发展中的作用。
